subject,script,session,woord,tested,response,score,readingTime,checkingTime,writingTime
sub-00004,cb,3,strikken,0,,False,5.781500000000051,0.7339000000952183,
sub-00004,cb,3,weigeren,0,,False,10.914099999904463,1.0195999999048126,
sub-00004,cb,3,lever,0,,False,3.564599999904658,0.8184000000953802,
sub-00004,cb,3,steek,0,,False,3.3917999999523545,0.4917999999522635,
sub-00004,cb,3,stal,0,,False,2.824000000000069,0.6916000001428984,
sub-00004,cb,3,rijp,0,,False,4.707699999809165,0.5449000000953674,
sub-00004,cb,3,waarop,0,,False,5.163299999952187,0.8415999999047017,
sub-00004,cb,3,uitdelen,0,,False,10.097799999952484,0.6385999999044998,
sub-00004,cb,3,woestijn,0,,False,12.29639999985693,0.5364999999999327,
sub-00004,cb,3,muziek,0,,False,5.099099999904638,0.5007000000478001,
sub-00004,cb,3,ticket,0,,False,6.399399999856996,0.4674999999999727,
sub-00004,cb,3,besmet,0,,False,12.289799999952264,0.5249000000953856,
sub-00004,cb,3,middelen,0,,False,6.732700000047771,0.5510999999046362,
sub-00004,cb,3,site,1,site,True,,0.5525000000000091,5.383000000000038
sub-00004,cb,3,aanzoek,0,,False,6.581799999952409,0.4842999999523272,
sub-00004,cb,3,vuur,0,,False,3.3092000000476673,0.4912000000476837,
sub-00004,cb,3,gebit,0,,False,4.8745999999046035,0.4854000000952965,
